_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
18047,1,7963754,Avondale Public School,,EP,Toronto District School Board,25 Bunty Lane,English Public,7963754,25,Bunty Lane,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,102001,7963734,25,,,,5064,314026.623,4848287.933999999,43.7765020619,-79.3851899865,POINT (-79.3851867443136 43.7764934570048)
18048,2,7315504,Avondale Secondary Alternative School,,EP,Toronto District School Board,24 Silverview Dr,English Public,7315504,24,Silverview Dr,24 Silverview Dr,M2M 2B3,North York,Toronto,Griffin Centre,102001,7315505,24,,,,6720,311879.691,4849375.563,43.7863151134,-79.4118464145,POINT (-79.41184315424391 43.78630651064231)
18049,3,20258267,AYJ Global Academy,,PR,,4 Lansing Sq,Priv,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,,104008,438287,4,,,,6007,318854.727,4848028.516,43.774091174700004,-79.3252196357,POINT (-79.32521641206344 43.77408257070501)
18050,4,7102999,Bais Brucha School,,PR,,3077 Bathurst St,Priv,7102999,3077,Bathurst St,3077 Bathurst St,M6A 1Z9,North York,Toronto,,104008,7102975,3077,,,,436,310459.38800000004,4841999.775,43.7199359778,-79.42957024350001,POINT (-79.4295669914541 43.71992738873699)
18051,5,9171677,Bais Chaya Mushka Elementary School,,PR,,4375 Chesswood Dr,Priv,9171677,4375,Chesswood Dr,4375 Chesswood Dr,M3J 2C2,North York,Toronto,,115001,9171675,4375,,,,5187,306600.74100000004,4846528.1680000005,43.7607168241,-79.4774452488,POINT (-79.47744198140715 43.76070822644761)
18052,6,487179,Bais Chomesh High School for Girls,,PR,,3600 Bathurst St,Priv,487179,3600,Bathurst St,3600 Bathurst St,M6A 2C9,North York,Toronto,Shaarei Tefillah Congregation,109001,443540,3600,,,,436,310175.57300000003,4843242.529,43.7311243948,-79.4330801994,POINT (-79.43307694306819 43.73111580043862)
18053,7,559733,Bais Yaakov Elementary School,,PR,,15 Saranac Blvd,Priv,559733,15,Saranac Blvd,15 Saranac Blvd,M6A 2G4,North York,Toronto,Bais Yaakov School,102001,444794,15,,,,6657,310273.73600000003,4842166.471,43.721429256,-79.43186944600001,POINT (-79.43186944385397 43.72142925665101)
18054,8,325461,Baitul Mukarram Academy School,,PR,,3334 Danforth Ave,Priv,325461,3334,Danforth Ave,3334 Danforth Ave,M1L 1C6,Scarborough,Toronto,,104008,112943,3334,,,,86,322668.43100000004,4839110.743,43.6937388093,-79.27814102949999,POINT (-79.27813782511569 43.69373021317836)
18055,9,9848255,Bala Avenue Community School,,EP,Toronto District School Board,6 Bala Ave,English Public,9848255,6,Bala Ave,6 Bala Ave,M6M 2E1,York,Toronto,Bala Avenue School,102001,9848256,6,,,,428,304863.781,4838612.904,43.6894708049,-79.4990155492,POINT (-79.49901227160872 43.68946222378872)
18056,10,7667200,Balmy Beach Community School,,EP,Toronto District School Board,14 Pine Ave,English Public,7667200,14,Pine Ave,14 Pine Ave,M4E 1L6,former Toronto,Toronto,Balmy Beach Community Recreation Centre - Building Grounds,106007,14673229,14,,,,4190,321731.021,4837186.996,43.676435913,-79.28982694300001,POINT (-79.28982694149906 43.67643591948764)
