rank,past_rank,trend,school,city,rating,past_rating,url,address,date_scraped
1,NA,NA,Al-Risala,Mississauga,10,NA,http://ontario.compareschoolrankings.org/elementary/Al-Risala_Academy/Mississauga/Report_Card.aspx,1224 Dundas Street E,2019-05-09
1,NA,NA,Avondale Alternative,Toronto,10,NA,http://ontario.compareschoolrankings.org/elementary/Avondale_Alternative_Elementary_School/Toronto/Report_Card.aspx,171 Avondale Ave,2019-05-09
1,NA,NA,Havergal,Toronto,10,NA,http://ontario.compareschoolrankings.org/elementary/Havergal_College/Toronto/Report_Card.aspx,1451 Avenue Rd,2019-05-09
1,NA,NA,IQRA Islamic,Mississauga,10,NA,http://ontario.compareschoolrankings.org/elementary/IQRA_Islamic_School/Mississauga/Report_Card.aspx,5751 Coopers Ave,2019-05-09
1,NA,NA,Islamic Foundation,Ajax,10,NA,http://ontario.compareschoolrankings.org/elementary/Islamic_Foundation_School_Durham/Ajax/Report_Card.aspx,2944 Audley Road N.,2019-05-09
1,NA,NA,Islamic Institute of Toronto,Toronto,10,NA,http://ontario.compareschoolrankings.org/elementary/Islamic_Institute_of_Toronto_Academy_(IIT_Academy)/Toronto/Report_Card.aspx,1630 NEILSON RD,2019-05-09
1,NA,NA,Islamic School of Cambridge,Cambridge,10,NA,http://ontario.compareschoolrankings.org/elementary/Islamic_School_of_Cambridge/Cambridge/Report_Card.aspx,1550 Dunbar Rd,2019-05-09
1,NA,NA,Khalsa Community,Brampton,10,NA,http://ontario.compareschoolrankings.org/elementary/Khalsa_Community_School/Brampton/Report_Card.aspx,69 Maitland Street,2019-05-09
1,NA,NA,Khalsa School Malton,Mississauga,10,NA,http://ontario.compareschoolrankings.org/elementary/Khalsa_School_Malton/Mississauga/Report_Card.aspx,7280 Airport Rd.,2019-05-09
1,NA,NA,Laggan,Dalkeith,10,NA,http://ontario.compareschoolrankings.org/elementary/Laggan_Public_School/Dalkeith/Report_Card.aspx,20345 Laggan-Glenelg Road,2019-05-09
1,NA,NA,Northmount,Toronto,10,NA,http://ontario.compareschoolrankings.org/elementary/Northmount_School/Toronto/Report_Card.aspx,26 Mallard Rd,2019-05-09
1,NA,NA,Safa & Marwa,Mississauga,10,NA,http://ontario.compareschoolrankings.org/elementary/Safa_%5bamp%5d_Marwa_Islamic_School/Mississauga/Report_Card.aspx,5550 Mcadam Road,2019-05-09
1,NA,NA,Sathya Sai,Toronto,10,NA,http://ontario.compareschoolrankings.org/elementary/Sathya_Sai_School_of_Toronto/Toronto/Report_Card.aspx,"505 Ellesmere Rd  4Toronto,",2019-05-09
1,NA,NA,St Justin Martyr,Unionville,10,NA,http://ontario.compareschoolrankings.org/elementary/St_Justin_Martyr_Catholic_Elementary_School/Unionville/Report_Card.aspx,140 Hollingham Rd,2019-05-09
1,NA,NA,St Mildred's-Lightbourn,Oakville,10,NA,http://ontario.compareschoolrankings.org/elementary/St_Mildred's-Lightbourn_School/Oakville/Report_Card.aspx,1080 Linbrook Rd,2019-05-09
1,NA,NA,St Sebastian,Toronto,10,NA,http://ontario.compareschoolrankings.org/elementary/St_Sebastian_Separate_School/Toronto/Report_Card.aspx,717 Brock Ave,2019-05-09
17,NA,NA,Islamic School of Hamilton,Hamilton,9.9,NA,http://ontario.compareschoolrankings.org/elementary/Islamic_School_of_Hamilton%2c_The/Hamilton/Report_Card.aspx,1545 Stone Church Rd E,2019-05-09
17,NA,NA,Silver Stream,Richmond Hill,9.9,NA,http://ontario.compareschoolrankings.org/elementary/Silver_Stream_Public_School/Richmond_Hill/Report_Card.aspx,"180 Farmstead Rd  Richmond Hill,",2019-05-09
19,NA,NA,Sainte-Marguerite-Bourgeoys,Markham,9.8,NA,http://ontario.compareschoolrankings.org/elementary/%c3%89%c3%89C_Sainte-Marguerite-Bourgeoys/Markham/Report_Card.aspx,111 boulevard John Button,2019-05-09
19,NA,NA,St Benedict,Unionville,9.8,NA,http://ontario.compareschoolrankings.org/elementary/St_Benedict_Catholic_Elementary_School/Unionville/Report_Card.aspx,50 Aldergrove Dr,2019-05-09
21,NA,NA,Convent Glen,Orléans,9.7,NA,http://ontario.compareschoolrankings.org/elementary/Convent_Glen_Catholic_Elementary_School/Orl%c3%a9ans/Report_Card.aspx,"6212 Jeanne d'Arc Blvd  Orléans,",2019-05-09
21,NA,NA,Donald Cousens,Markham,9.7,NA,http://ontario.compareschoolrankings.org/elementary/Donald_Cousens_Public_School/Markham/Report_Card.aspx,315 Mingay Avenue,2019-05-09
23,NA,NA,Nile Academy,Toronto,9.6,NA,http://ontario.compareschoolrankings.org/elementary/Nile_Academy/Toronto/Report_Card.aspx,5 Blue Haven Crescent,2019-05-09
23,NA,NA,Olive Grove,Mississauga,9.6,NA,http://ontario.compareschoolrankings.org/elementary/Olive_Grove_School/Mississauga/Report_Card.aspx,2300 Speakman Dr,2019-05-09
25,NA,NA,Al-Ameen,Brampton,9.5,NA,http://ontario.compareschoolrankings.org/elementary/Al-Ameen_Elementary_School/Brampton/Report_Card.aspx,389 Main Street North,2019-05-09
